SAMPLE	Baetis	Chironominae	Cinygma	Despaxia	Isoperla	Lara	Lepidostoma	Leptophlebiidae	Limnophila	Malenka	Micrasema	Oligochaeta	Optioservus	Orthocladiinae	Simulium	Sphaeriidae	Sweltsa	Tanypodinae	Trombidiformes	Zapada	Ampumixis	Arctopsyche	Calineuria	Dicranota	Drunella_coloradensis/flavilinea	Drunella_doddsi	Epeorus	Glossosoma	Glutops	Gomphidae	Hesperoperla	Heterlimnius	Hydropsyche	Ironodes	Juga	Maruina	Nematoda	Neophylax	Ordobrevia	Paraperla	Rhithrogena	Rhyacophila	Serratella	Wormaldia	Yoraperla	Zaitzevia	Ameletus	Capniidae	Caudatella	Chelifera	Cinygmula	Diamesinae	Dixa	Ecclisocosmoecus	Ephemerella	Hesperoconopa	Nemoura	Neothremma	Parapsyche	Pericoma/Telmatoscopus	Setvena	Turbellaria	Antocha	Apatania	Clinocera	Diphetor_hageni	Helicopsychidae	Kogotus	Narpus	Suwallia	Ceratopogoninae	Oreogeton	Prosimulium	Visoka	Agapetus	Attenella	Acentrella	Cryptolabis	Fluminicola	Hexatoma	Nixe/Leucocruta	Pteronarcys	Doroneuria	Pteronarcella	Cleptelmis	Drunella_spinifera	Megarcys	Amiocentrus	Forcipomyiinae	Goeridae	Timpanoga_hecuba	Anagapetus	Dolophilodes	Skwala	Kathroperla	Meringodixa	Soliperla	Soyedina	Thaumaleidae	Amphizoa	Cryptochia	Dicosmoecus	Dytiscidae	Hydraenidae	Moselia	Sialis	Drunella_grandis	Ecclisomyia	Prodiamesinae	Pristinicola	Psychoglypha	Rhabdomastix	Centroptilum	Cheumatopsyche	Hydroptila	Tricorythodes	Eubrianax	Atherix	Asellidae	Cordulegaster	Cultus	Molophilus	Muscidae	Odontoceridae	Tipula	Chimarra	Claassenia	Coenagrionidae	Leptoceridae	Lymnaeidae	Microcylloepus	Planorbidae	Psephenus	Pyralidae	Ephydridae	Onocosmoecus	Perlinodes	Physidae	Brachycentrus	Metrichia_sp.	Ferrissia	Caloparyphus	Protoptila	Blephariceridae	Ochrotrichia	Oligophlebodes	Enochrus	Pedicia	Ptychopteridae	Heptagenia	Margaritifera	Tabanidae	Dixella	Wiedemannia	Psychomyia	Hemerodromia	Agraylea	Gammarus	Helichus	Hyalella_azteca	Diura	Prostoia	Taeniopterygidae	Podonominae	Prostoma	Gumaga	Corydalidae	Pedomoecus	Helophorus	Haliplidae	Neotrichia	Branchiobdellida	Stenonema	Hydatophylax	Heteroplectron	Polycentropodidae	Deuterophlebiidae	Callibaetis	Dubiraphia	Corixidae	Labiobaetis	Hydrochus	Stactobiella	Hirudinea	Odontomyia	Tropisternus	Hydrobius	Psychoda	Dolichopodidae	Nemotelus	Desmona	Chyranda_centralis	Euparyphus	Limonia	Asioplax	Fallceon_quilleri	Laccobius	Atractelmis_wawona	Leucotrichia	Acneus	Isonychia	Plumiperla	Ametor	Crenitis	Pilaria	Sierraperla	Valvata	Cymbiodyta	Anacaena	Caenis	Staphylinidae	Gyrinus	Sperchopsis	Podmosta	Palaegapetus	Libellulidae	Pseudostenophylax	Allocosmoecus	Procloeon	Philocasca	Drunella_pelosa	Himalopsyche	Eocosmoecus	Trichoclinocera
01019JDE	12	45	5	0	6	0	0	11	0	4	0	4	4	114	0	0	0	4	1	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	6	0	2	0	1	17	5	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01020CSR	1	3	0	2	0	1	5	4	0	3	2	1	0	1	1	0	3	0	3	5	2	0	3	1	8	0	2	0	2	0	2	2	0	1	0	0	0	0	0	0	3	45	1	0	1	6	1	0	0	1	4	0	0	0	0	0	0	0	3	0	0	3	0	0	2	1	0	0	0	0	0	1	0	5	0	0	0	0	0	6	0	0	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01020JDE	13	63	0	0	0	0	1	2	0	0	0	38	6	24	0	0	0	3	1	9	0	0	2	1	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01021CSR	1	82	7	1	2	3	1	12	0	1	0	0	0	22	0	0	5	2	2	2	0	0	4	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	11	0	1	1	0	1	0	0	1	10	0	3	0	0	0	0	1	2	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01021JDE	20	32	0	0	0	0	0	0	1	0	9	12	0	78	2	0	3	0	0	1	0	0	0	0	0	10	19	3	0	0	0	1	0	0	0	0	0	0	0	0	13	10	2	0	7	0	4	0	12	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	2	0	0	1	0	0	16	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01022JDE	2	2	0	0	0	2	0	1	0	12	0	8	0	7	4	121	0	1	1	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01023CSR	33	5	25	0	0	0	0	0	0	0	0	32	4	14	2	10	11	0	42	0	0	0	1	0	0	0	5	0	0	18	0	0	0	0	1	0	6	0	0	0	2	1	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	12	0	0	0	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01023JDE	10	11	0	0	0	0	6	0	0	0	0	12	22	28	6	1	0	0	1	0	0	0	0	0	0	1	17	33	0	0	1	0	23	0	0	0	0	0	0	0	2	2	1	15	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	21	5	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	12	5	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01024CSR	14	15	0	0	0	0	3	2	0	8	0	19	4	2	5	0	38	0	5	3	0	0	4	0	0	0	0	1	0	0	0	14	0	0	34	0	0	6	0	0	8	9	0	15	0	12	0	16	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	2	0	11	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01024JDE	11	20	0	0	0	0	1	3	0	0	1	7	3	72	15	0	1	2	7	46	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	13	0	1	1	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01025CSR	11	23	0	0	0	0	0	0	0	3	6	7	8	1	1	1	0	2	2	1	0	0	1	1	0	0	9	2	0	0	2	0	11	0	3	0	0	0	0	0	3	23	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	29	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01025JDE	0	61	0	0	0	0	1	27	0	2	0	6	0	84	1	6	1	16	2	28	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	16	1	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01025SEO	3	9	0	0	0	0	2	11	6	0	14	2	39	1	33	6	0	20	0	0	0	0	0	0	0	0	11	0	0	0	3	0	6	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	3	0	0	0	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01026CSR	0	8	1	0	0	0	1	2	0	1	1	3	0	4	8	5	5	0	2	16	0	0	4	1	0	0	0	3	0	0	0	7	0	0	1	0	0	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01026JDE	11	10	0	0	0	0	4	0	0	0	1	8	0	21	1	0	3	3	24	2	0	0	0	1	0	54	3	0	1	0	0	10	0	0	0	0	0	0	0	0	12	5	1	0	0	1	3	0	0	0	10	7	0	0	1	0	0	3	1	0	0	35	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	20	0	0	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01027CSR	1	7	0	0	0	0	12	3	0	1	0	0	12	2	0	2	2	2	47	3	0	0	2	14	0	0	0	6	1	0	0	2	5	7	21	2	12	0	0	0	1	68	0	4	0	4	0	0	0	0	4	0	8	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01027JDE	0	23	1	0	0	0	1	0	0	0	0	40	0	67	0	0	0	41	30	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	3	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01027SEO	49	4	0	0	0	0	6	16	0	0	0	7	2	6	0	2	0	6	3	0	0	0	0	0	0	0	3	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01030CSR	7	21	0	0	0	0	0	0	0	7	3	23	9	10	15	0	11	18	7	18	1	0	1	18	0	0	2	2	0	0	0	0	3	0	20	0	0	3	0	0	0	32	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01031GRD	2	29	0	0	0	0	19	8	0	0	0	13	1	29	0	1	1	16	2	4	0	0	0	0	0	0	18	0	0	12	0	0	0	0	0	7	2	0	1	0	1	0	0	0	0	19	3	0	0	0	0	25	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	26	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01031WSE	32	10	0	1	0	1	2	11	0	0	10	2	0	33	1	1	0	0	6	13	0	0	10	1	0	21	0	0	0	0	0	0	0	8	0	0	2	3	0	0	0	31	3	0	54	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	6	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01032GRD	1	1	0	0	0	0	12	8	0	0	0	29	12	2	9	24	17	1	8	0	0	0	23	0	0	0	0	4	0	1	0	0	1	0	0	0	6	0	10	0	10	0	0	0	0	5	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	11	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01032WSE	7	26	0	0	0	0	6	3	0	16	0	3	3	12	2	0	15	1	5	17	0	0	11	1	0	0	0	3	2	6	7	9	4	12	26	0	1	1	0	0	25	18	0	5	0	11	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01033GRD	2	1	0	0	0	0	3	14	0	0	0	5	9	20	0	0	0	0	16	3	0	0	2	0	0	0	5	0	0	38	0	0	10	0	0	0	1	0	11	0	1	0	0	0	0	22	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	25	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	26	4	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01033WSE	8	13	9	11	2	0	8	27	0	7	29	6	0	31	1	2	16	6	13	44	0	0	2	2	0	0	0	6	0	0	0	0	0	4	11	0	0	1	0	0	0	6	0	4	3	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01034WSE	0	56	0	0	0	0	0	85	0	0	0	81	0	16	0	10	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01035GRD	0	35	0	0	0	0	12	10	1	0	0	9	34	5	5	10	34	2	2	1	4	0	3	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	4	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	6	0	22	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
