SAMPLE	Baetis	Chironominae	Cinygma	Despaxia	Isoperla	Lara	Lepidostoma	Leptophlebiidae	Limnophila	Malenka	Micrasema	Oligochaeta	Optioservus	Orthocladiinae	Simulium	Sphaeriidae	Sweltsa	Tanypodinae	Trombidiformes	Zapada	Ampumixis	Arctopsyche	Calineuria	Dicranota	Drunella_coloradensis/flavilinea	Drunella_doddsi	Epeorus	Glossosoma	Glutops	Gomphidae	Hesperoperla	Heterlimnius	Hydropsyche	Ironodes	Juga	Maruina	Nematoda	Neophylax	Ordobrevia	Paraperla	Rhithrogena	Rhyacophila	Serratella	Wormaldia	Yoraperla	Zaitzevia	Ameletus	Capniidae	Caudatella	Chelifera	Cinygmula	Diamesinae	Dixa	Ecclisocosmoecus	Ephemerella	Hesperoconopa	Nemoura	Neothremma	Parapsyche	Pericoma/Telmatoscopus	Setvena	Turbellaria	Antocha	Apatania	Clinocera	Diphetor_hageni	Helicopsychidae	Kogotus	Narpus	Suwallia	Ceratopogoninae	Oreogeton	Prosimulium	Visoka	Agapetus	Attenella	Acentrella	Cryptolabis	Fluminicola	Hexatoma	Nixe/Leucocruta	Pteronarcys	Doroneuria	Pteronarcella	Cleptelmis	Drunella_spinifera	Megarcys	Amiocentrus	Forcipomyiinae	Goeridae	Timpanoga_hecuba	Anagapetus	Dolophilodes	Skwala	Kathroperla	Meringodixa	Soliperla	Soyedina	Thaumaleidae	Amphizoa	Cryptochia	Dicosmoecus	Dytiscidae	Hydraenidae	Moselia	Sialis	Drunella_grandis	Ecclisomyia	Prodiamesinae	Pristinicola	Psychoglypha	Rhabdomastix	Centroptilum	Cheumatopsyche	Hydroptila	Tricorythodes	Eubrianax	Atherix	Asellidae	Cordulegaster	Cultus	Molophilus	Muscidae	Odontoceridae	Tipula	Chimarra	Claassenia	Coenagrionidae	Leptoceridae	Lymnaeidae	Microcylloepus	Planorbidae	Psephenus	Pyralidae	Ephydridae	Onocosmoecus	Perlinodes	Physidae	Brachycentrus	Metrichia_sp.	Ferrissia	Caloparyphus	Protoptila	Blephariceridae	Ochrotrichia	Oligophlebodes	Enochrus	Pedicia	Ptychopteridae	Heptagenia	Margaritifera	Tabanidae	Dixella	Wiedemannia	Psychomyia	Hemerodromia	Agraylea	Gammarus	Helichus	Hyalella_azteca	Diura	Prostoia	Taeniopterygidae	Podonominae	Prostoma	Gumaga	Corydalidae	Pedomoecus	Helophorus	Haliplidae	Neotrichia	Branchiobdellida	Stenonema	Hydatophylax	Heteroplectron	Polycentropodidae	Deuterophlebiidae	Callibaetis	Dubiraphia	Corixidae	Labiobaetis	Hydrochus	Stactobiella	Hirudinea	Odontomyia	Tropisternus	Hydrobius	Psychoda	Dolichopodidae	Nemotelus	Desmona	Chyranda_centralis	Euparyphus	Limonia	Asioplax	Fallceon_quilleri	Laccobius	Atractelmis_wawona	Leucotrichia	Acneus	Isonychia	Plumiperla	Ametor	Crenitis	Pilaria	Sierraperla	Valvata	Cymbiodyta	Anacaena	Caenis	Staphylinidae	Gyrinus	Sperchopsis	Podmosta	Palaegapetus	Libellulidae	Pseudostenophylax	Allocosmoecus	Procloeon	Philocasca	Drunella_pelosa	Himalopsyche	Eocosmoecus	Trichoclinocera
00003WSE	6	81	0	0	0	0	4	0	0	18	1	0	0	90	2	0	1	1	11	3	0	0	13	2	0	1	0	11	0	2	0	1	7	2	1	0	0	0	0	0	3	11	0	1	0	3	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00004CSR	29	36	0	0	1	1	0	0	1	1	0	0	36	16	3	1	7	0	4	0	0	7	7	4	0	0	2	47	0	0	3	1	0	1	12	8	2	1	0	0	9	27	3	5	1	9	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	3	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00004JDE	17	17	0	0	0	1	0	4	0	2	23	1	0	33	35	0	2	1	1	6	0	0	0	0	0	0	0	2	0	0	2	12	8	1	0	0	5	0	0	0	5	44	2	0	0	18	0	0	5	1	0	7	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	3	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00004REM	16	2	0	1	0	0	1	0	0	3	0	0	0	19	0	0	4	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	6	6	0	0	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	1	0	0	0	0	0	1	1	6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00004WSE	0	2	9	0	0	0	0	10	0	1	4	2	0	6	0	8	2	8	16	16	0	0	0	0	0	0	0	0	4	0	0	95	0	0	0	0	0	1	0	1	0	4	0	0	8	0	5	0	0	1	0	0	1	0	0	0	0	0	1	21	0	0	0	1	0	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	13	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	1	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00005CSR	32	19	4	1	0	0	0	7	0	40	1	10	9	22	2	1	7	1	1	19	0	0	7	1	1	9	8	20	2	3	1	8	1	2	1	0	0	11	0	0	13	5	0	6	0	5	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00005REM	32	189	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	11	2	0	0	0	1	2	2	11	1	6	0	0	0	3	0	0	0	0	0	0	0	0	2	10	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00006CSR	18	8	3	1	0	0	0	5	0	13	0	12	0	9	0	0	9	0	0	5	0	0	3	1	10	3	56	4	0	0	0	1	0	3	0	0	0	28	0	0	16	24	1	3	13	0	3	0	0	0	0	7	0	0	20	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00006JDE	7	11	0	0	0	1	0	0	0	0	6	1	0	186	0	1	1	0	1	3	0	0	0	1	0	0	0	1	2	0	2	7	0	2	0	0	3	0	0	0	0	1	3	4	16	3	1	0	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	14	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00006REM	27	176	0	0	0	0	1	0	0	0	1	0	1	22	1	0	1	2	3	0	0	0	16	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	5	0	1	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	20	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00006WSE	2	61	1	0	0	0	2	4	1	0	6	3	0	114	0	0	7	9	9	2	0	0	0	1	0	0	0	0	0	0	0	8	0	1	0	0	1	0	0	0	0	7	0	1	4	0	3	4	0	0	4	3	0	0	3	0	0	0	3	2	0	5	0	0	0	3	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00007CSR	60	16	0	1	0	0	0	5	0	7	0	4	0	5	1	0	3	1	1	1	0	0	2	2	0	45	7	19	0	0	0	17	1	3	1	0	0	8	0	0	27	31	4	2	0	2	2	0	0	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00007REM	26	107	0	0	0	0	1	3	0	1	4	15	0	16	8	0	0	0	0	5	3	3	9	1	0	3	10	14	0	0	0	1	31	2	0	0	1	0	0	0	17	9	1	1	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
